customer_id,first_name,last_name,email,phone,registration_date,city,state,country,age_group
CUST0001,Dustin,Davis,dustin.davis1@example.com,219-500-4518x6280,2024-05-06,Port Matthew,New Mexico,Burkina Faso,46-60
CUST0002,Kaitlyn,Johnson,kaitlyn.johnson2@example.com,001-686-268-0004,2024-06-16,South Dylan,Kansas,Aruba,36-45
CUST0003,Oscar,Meyers,oscar.meyers3@example.com,344.500.4923x54990,2023-04-05,Thomasfort,Oklahoma,Guinea-Bissau,60+
CUST0004,Jonathan,Novak,jonathan.novak4@example.com,366-786-8678,2023-03-04,Millerbury,New Jersey,Tuvalu,18-25
CUST0005,Mark,Bryant,mark.bryant5@example.com,001-700-600-6102,2023-03-01,Huffstad,Pennsylvania,Niger,46-60
CUST0006,David,Duncan,david.duncan6@example.com,+1-244-807-7289x83100,2023-11-21,North Robertland,Nebraska,Qatar,36-45
CUST0007,Christina,Stanley,christina.stanley7@example.com,+1-265-630-6751,2024-08-27,Davidfort,Iowa,Greece,36-45
CUST0008,Sarah,Cox,sarah.cox8@example.com,+1-676-916-3265x3035,2024-08-10,Port Madison,Kentucky,Cuba,18-25
CUST0009,Ryan,Bishop,ryan.bishop9@example.com,924.758.9949x073,2024-01-18,Melissachester,Maine,Paraguay,18-25
CUST0010,Joseph,Jones,joseph.jones10@example.com,381.805.1692,2024-11-26,Port Rebecca,Indiana,Togo,46-60
CUST0011,Kevin,Russell,kevin.russell11@example.com,+1-862-614-9627x1755,2023-03-28,South Debraville,Michigan,Georgia,46-60
CUST0012,Jessica,Nguyen,jessica.nguyen12@example.com,(577)794-4607,2023-06-19,Gardnerbury,New Hampshire,South Georgia and the South Sandwich Islands,60+
CUST0013,Tonya,Williamson,tonya.williamson13@example.com,457.974.3555x66038,2024-12-24,North Josephstad,Montana,Malawi,60+
CUST0014,Andrea,Jordan,andrea.jordan14@example.com,745-565-0236x214,2024-12-20,Fischerfort,Florida,Reunion,18-25
CUST0015,Jennifer,Hart,jennifer.hart15@example.com,001-372-411-5168x16677,2024-11-03,East Gloria,Pennsylvania,Suriname,18-25
CUST0016,Anita,Mcneil,anita.mcneil16@example.com,001-877-342-8325,2023-02-04,Riddleport,Idaho,Congo,18-25
CUST0017,Nancy,Chandler,nancy.chandler17@example.com,+1-726-761-0722x19497,2024-09-20,Jocelynport,Delaware,Brunei Darussalam,46-60
CUST0018,Raymond,Taylor,raymond.taylor18@example.com,544-679-6298x829,2023-06-26,West Shane,Hawaii,Guernsey,26-35
CUST0019,Haley,King,haley.king19@example.com,(496)486-1659x760,2023-08-27,East Bonnieport,Indiana,United Kingdom,26-35
CUST0020,Jennifer,Ferguson,jennifer.ferguson20@example.com,896-850-4475x294,2024-06-27,Timothyton,Arkansas,Comoros,18-25
CUST0021,Richard,Harris,richard.harris21@example.com,694-557-5245x906,2023-09-23,Woodsburgh,Washington,Palestinian Territory,36-45
CUST0022,Jamie,Rodriguez,jamie.rodriguez22@example.com,826-582-2426x5958,2023-01-01,Rebeccaside,Mississippi,Montserrat,36-45
CUST0023,Angela,Booker,angela.booker23@example.com,+1-284-859-1150x3757,2023-10-18,Wallchester,South Dakota,Seychelles,60+
CUST0024,Sarah,Wilson,sarah.wilson24@example.com,980-441-5689x870,2024-09-05,Courtneyberg,Kansas,Norfolk Island,46-60
CUST0025,Ryan,Gross,ryan.gross25@example.com,591-546-7999,2023-07-07,North Mark,Colorado,South Georgia and the South Sandwich Islands,26-35
CUST0026,Donald,Turner,donald.turner26@example.com,(650)894-3608,2023-01-31,Mooreside,Maryland,Botswana,18-25
CUST0027,Gloria,Graham,gloria.graham27@example.com,608-309-7341,2024-03-18,Lake Andrew,Rhode Island,Niue,18-25
CUST0028,Steven,Hughes,steven.hughes28@example.com,302-540-7458x799,2023-03-11,Port Sandraview,Montana,Liechtenstein,60+
CUST0029,Kenneth,Franklin,kenneth.franklin29@example.com,+1-760-204-6575x4021,2023-02-11,Douglasburgh,Kansas,Netherlands Antilles,60+
CUST0030,Robert,Romero,robert.romero30@example.com,3537992879,2024-05-12,Port Amberfort,North Carolina,Samoa,26-35
CUST0031,Kurt,Turner,kurt.turner31@example.com,001-702-619-5883x7427,2023-10-12,Francochester,Indiana,Gambia,46-60
CUST0032,Melissa,Cox,melissa.cox32@example.com,+1-992-222-2868x04246,2024-11-01,Stewartview,Michigan,Suriname,36-45
CUST0033,Tina,Nichols,tina.nichols33@example.com,(437)631-3822x215,2024-02-15,North Mark,Arizona,France,46-60
CUST0034,Melanie,Williams,melanie.williams34@example.com,(635)233-6057x4939,2024-07-01,Lake Julieton,Virginia,Antigua and Barbuda,46-60
CUST0035,Yvette,Taylor,yvette.taylor35@example.com,(599)538-8371x934,2023-09-08,Hardinmouth,Colorado,Taiwan,18-25
CUST0036,Ann,Thomas,ann.thomas36@example.com,247.785.5004,2024-03-07,North Ryanshire,Oklahoma,Nicaragua,46-60
CUST0037,Martha,Roberts,martha.roberts37@example.com,695-710-0685x72001,2024-11-09,Gallegosstad,Wyoming,Guyana,60+
CUST0038,Joshua,Morris,joshua.morris38@example.com,001-717-837-2767,2023-08-07,South Courtneyton,New York,Egypt,26-35
CUST0039,Luke,Benitez,luke.benitez39@example.com,+1-706-763-6658x5849,2023-04-08,Mortonmouth,Rhode Island,Argentina,46-60
CUST0040,Joseph,Coleman,joseph.coleman40@example.com,767.218.6883x45749,2024-07-11,Lake Davidborough,Wisconsin,Micronesia,26-35
CUST0041,Justin,Hill,justin.hill41@example.com,(747)687-2460,2024-05-15,East Anthony,Oregon,Bahrain,18-25
CUST0042,Alicia,Faulkner,alicia.faulkner42@example.com,+1-694-758-6818,2024-10-04,West Stephenport,Minnesota,Northern Mariana Islands,60+
CUST0043,Charles,Bell,charles.bell43@example.com,221.318.7006x5870,2023-07-14,Gregoryburgh,Kansas,Honduras,26-35
CUST0044,Matthew,White,matthew.white44@example.com,6182685386,2023-03-10,Murphyburgh,Idaho,Panama,36-45
CUST0045,Brandon,Aguirre,brandon.aguirre45@example.com,403.896.7040,2023-08-23,Johnsonfort,Maryland,Mali,60+
CUST0046,Paula,Nicholson,paula.nicholson46@example.com,3145121837,2023-01-28,Jasonburgh,West Virginia,North Macedonia,60+
CUST0047,Sean,Vasquez,sean.vasquez47@example.com,271-912-0888x864,2024-08-12,Jacksontown,New Mexico,Swaziland,18-25
CUST0048,Michael,Hawkins,michael.hawkins48@example.com,(658)719-0772x6623,2024-09-20,East Maria,Oregon,Peru,26-35
CUST0049,Blake,Pitts,blake.pitts49@example.com,+1-388-412-8331x0730,2024-10-18,Brownchester,Montana,Mauritania,60+
CUST0050,Andrew,Trujillo,andrew.trujillo50@example.com,(505)725-6167x5981,2024-06-09,Davisview,Alaska,Jamaica,36-45
CUST0051,Cody,Harvey,cody.harvey51@example.com,9943823463,2024-09-10,New Kimberly,Oklahoma,Korea,18-25
CUST0052,Kellie,Gonzalez,kellie.gonzalez52@example.com,389-344-8213,2023-12-17,Smithborough,Colorado,Micronesia,60+
CUST0053,Bryce,Smith,bryce.smith53@example.com,+1-794-955-5105,2024-11-28,Daltonside,Utah,Romania,18-25
CUST0054,Teresa,Foster,teresa.foster54@example.com,(780)570-7574x7116,2023-07-08,Erikaview,Wisconsin,Croatia,26-35
CUST0055,Zachary,Johnson,zachary.johnson55@example.com,5936757288,2023-01-16,Port Amandafort,Arkansas,Ireland,46-60
CUST0056,Justin,Rodriguez,justin.rodriguez56@example.com,+1-916-281-3054x178,2023-08-16,Morganborough,Colorado,Gabon,46-60
CUST0057,Michael,Nichols,michael.nichols57@example.com,(471)735-7892x1258,2024-09-30,East Sandraville,Delaware,Guam,18-25
CUST0058,Amber,Clay,amber.clay58@example.com,(865)730-9866x234,2023-08-03,Lake Paulland,Vermont,Brazil,36-45
CUST0059,Howard,Parks,howard.parks59@example.com,001-994-414-8460x5918,2024-07-23,Christopherberg,Tennessee,Chad,36-45
CUST0060,Donna,Nguyen,donna.nguyen60@example.com,(613)837-1882x77815,2023-04-16,Port Cindy,Washington,Latvia,18-25
CUST0061,Frederick,Mccall,frederick.mccall61@example.com,580.917.4728,2023-05-22,New Lorraine,Idaho,Canada,60+
CUST0062,Rhonda,Lee,rhonda.lee62@example.com,001-930-244-8190,2024-11-25,West Brian,Washington,Sweden,46-60
CUST0063,Charles,Cruz,charles.cruz63@example.com,001-615-449-1330x17164,2024-08-20,Margaretville,Wisconsin,Algeria,60+
CUST0064,Lisa,Gallegos,lisa.gallegos64@example.com,703-739-6182x221,2024-11-06,East Michelle,Rhode Island,Ukraine,46-60
CUST0065,Robin,Santana,robin.santana65@example.com,+1-859-228-6172,2023-06-11,Juliebury,Texas,Indonesia,46-60
CUST0066,Matthew,Martinez,matthew.martinez66@example.com,+1-322-748-4780x64092,2023-12-14,South Kristen,Connecticut,Jersey,18-25
CUST0067,Joseph,James,joseph.james67@example.com,001-616-563-0562x6910,2023-09-07,Scottbury,Minnesota,Tajikistan,46-60
CUST0068,David,Lowe,david.lowe68@example.com,783.583.1276x09133,2023-09-19,Jacksonview,Colorado,Equatorial Guinea,60+
CUST0069,Theresa,Potts,theresa.potts69@example.com,677-554-5301,2023-11-30,Lake Pamela,Nevada,Mexico,46-60
CUST0070,Judy,Bender,judy.bender70@example.com,778.491.3283,2024-07-17,South Ashleymouth,Florida,Cocos (Keeling) Islands,36-45
CUST0071,Allison,Diaz,allison.diaz71@example.com,515.879.7090x0168,2023-02-17,West Stevenville,Colorado,Luxembourg,46-60
CUST0072,Nicholas,Hernandez,nicholas.hernandez72@example.com,(748)760-6222,2023-10-13,South Richard,California,Eritrea,26-35
CUST0073,Brent,Roberts,brent.roberts73@example.com,001-808-552-7816x82975,2023-10-03,Bonillafort,Vermont,Costa Rica,36-45
CUST0074,Carolyn,Arnold,carolyn.arnold74@example.com,(352)396-1464x7498,2024-07-10,New Coreyview,Kansas,Maldives,46-60
CUST0075,Sarah,Fisher,sarah.fisher75@example.com,(381)601-6503,2023-10-01,Yorkburgh,Alaska,Albania,26-35
CUST0076,Lynn,Mcdonald,lynn.mcdonald76@example.com,6897977127,2024-02-17,East Melissa,Florida,Zimbabwe,36-45
CUST0077,Crystal,Cooper,crystal.cooper77@example.com,678.732.3823x163,2023-06-09,Williamshire,Tennessee,Guinea-Bissau,26-35
CUST0078,Melissa,Molina,melissa.molina78@example.com,987.333.8291x38321,2024-03-22,South Richardburgh,Oregon,Sudan,18-25
CUST0079,Steve,Carpenter,steve.carpenter79@example.com,842.883.8173x57201,2023-09-04,Connormouth,Illinois,Peru,36-45
CUST0080,Carlos,Figueroa,carlos.figueroa80@example.com,776.310.1141x8521,2023-04-06,East Stephanie,California,Samoa,26-35
CUST0081,Maria,Moore,maria.moore81@example.com,001-901-882-8765x6505,2024-02-06,Brownside,Rhode Island,Bosnia and Herzegovina,18-25
CUST0082,David,Stewart,david.stewart82@example.com,(629)757-7602x139,2023-03-05,Griffinfort,Louisiana,Costa Rica,46-60
CUST0083,Joseph,Murphy,joseph.murphy83@example.com,(613)488-7535,2023-04-13,Myersbury,Maine,Singapore,60+
CUST0084,Kevin,Orozco,kevin.orozco84@example.com,(529)741-3362,2024-08-01,Bobton,Michigan,Montenegro,26-35
CUST0085,Daniel,Wise,daniel.wise85@example.com,001-996-900-4778,2024-03-20,Allenland,Kentucky,Libyan Arab Jamahiriya,46-60
CUST0086,Dawn,Avery,dawn.avery86@example.com,001-363-534-7786x3584,2024-05-16,Wallsside,Missouri,Afghanistan,26-35
CUST0087,Gregory,Turner,gregory.turner87@example.com,001-448-825-4861x74289,2024-01-20,Toddside,Connecticut,Saint Barthelemy,46-60
CUST0088,Russell,Rogers,russell.rogers88@example.com,+1-503-517-2323x98476,2024-11-26,Daleborough,Missouri,Monaco,18-25
CUST0089,Karen,Jones,karen.jones89@example.com,(397)955-6750x4602,2024-04-26,Port Charles,North Carolina,Pakistan,26-35
CUST0090,Joel,Coleman,joel.coleman90@example.com,(544)285-5330x45976,2024-05-05,Letown,Michigan,Kiribati,18-25
CUST0091,Tyler,Lopez,tyler.lopez91@example.com,+1-527-208-5142x67374,2024-03-12,Lisafurt,Iowa,Barbados,36-45
CUST0092,Steven,Brown,steven.brown92@example.com,495-859-9131,2024-09-01,West Jeffrey,Nebraska,Hong Kong,60+
CUST0093,Gina,Lee,gina.lee93@example.com,(879)288-2459x029,2023-03-19,Huntside,Indiana,Estonia,36-45
CUST0094,Scott,Rogers,scott.rogers94@example.com,+1-296-883-0444,2024-03-25,Rojasview,Pennsylvania,Norway,46-60
CUST0095,Jamie,Johnson,jamie.johnson95@example.com,777.420.6472x066,2023-04-29,New Benjamin,Vermont,Mali,18-25
CUST0096,Miranda,Fisher,miranda.fisher96@example.com,224-418-4008,2024-04-10,Cannonton,Oregon,Guinea-Bissau,36-45
CUST0097,Spencer,Ware,spencer.ware97@example.com,689-493-3123,2024-05-27,Port Michelle,Louisiana,China,36-45
CUST0098,Joseph,Smith,joseph.smith98@example.com,947.551.3102x285,2024-11-04,South Charles,Hawaii,Solomon Islands,60+
CUST0099,William,Perez,william.perez99@example.com,001-455-927-4181x27380,2024-12-23,North Derekborough,Washington,South Africa,60+
CUST0100,Travis,Evans,travis.evans100@example.com,395.567.7318,2024-06-14,Manuelburgh,Iowa,Poland,26-35
CUST0101,Connie,Hayes,connie.hayes101@example.com,(748)673-5385x185,2023-08-26,Carriefort,Maryland,Myanmar,26-35
